STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
CA,Los Angeles,2012-11-4,4,Campfire,309,A,37.12444444,-119.1727778,
CA,Los Angeles,2012-8-5,1,Lightning,,A,37.355,-118.9991667,
CA,Los Angeles,2012-7-10,9,Miscellaneous,192,A,37.25194444,-119.1741667,
CA,Los Angeles,2012-8-9,1,Lightning,222,A,37.30583333,-118.9197222,
CA,Los Angeles,2012-10-8,4,Campfire,282,A,37.24805556,-119.1436111,
CA,Los Angeles,2012-8-12,1,Lightning,236,A,37.35666667,-118.96,
CA,Los Angeles,2012-5-8,9,Miscellaneous,129,A,37.13666667,-119.5141667,
TN,Nashville,2012-3-19,5,Debris Burning,79,C,36.44944444,-82.05,
TN,Nashville,2012-3-22,2,Equipment Use,82,B,36.39333333,-82.14972222,
TN,Nashville,2012-10-26,7,Arson,300,A,36.2275,-82.13972222,
TN,Nashville,2012-11-20,7,Arson,326,C,36.28805556,-82.15805556,
TN,Nashville,2012-11-18,9,Miscellaneous,323,B,36.31472222,-82.16388889,
TN,Nashville,2012-3-28,1,Lightning,88,D,36.42972222,-82.02027778,
TN,Nashville,2012-4-13,5,Debris Burning,104,C,36.22916667,-82.22,
TN,Nashville,2012-11-17,9,Miscellaneous,322,B,36.18166667,-81.99888889,
AZ,Phoenix,2012-7-7,9,Miscellaneous,190,B,34.1467,-112.1497,
AZ,Phoenix,2012-7-26,9,Miscellaneous,209,B,33.3844,-112.3331,
AZ,Phoenix,2012-9-12,1,Lightning,261,B,33.07,-112.805,
AZ,Phoenix,2012-2-8,4,Campfire,39,A,34.00245,-112.16393,
AZ,Phoenix,2012-4-24,2,Equipment Use,116,B,34.0172,-112.1497,
AZ,Phoenix,2012-4-18,9,Miscellaneous,109,B,34.1431,-112.1497,
AZ,Phoenix,2012-5-29,13,Missing/Undefined,150,A,33.9694,-112.1278,
AZ,Phoenix,2012-5-30,9,Miscellaneous,151,B,32.7892,-112.2681,
AZ,Phoenix,2012-6-7,9,Miscellaneous,159,A,32.8639,-112.4164,
AZ,Phoenix,2012-6-13,2,Equipment Use,165,A,32.86436,-112.41099,
AZ,Phoenix,2012-6-13,9,Miscellaneous,166,B,33.84,-112.1635,
AZ,Phoenix,2012-6-20,9,Miscellaneous,172,A,33.94481,-112.1413,
FL,Jacksonville,2012-1-3,8,Children,3,B,30.1768,-81.5781,
FL,Jacksonville,2012-1-11,7,Arson,11,B,30.1115,-81.4846,
FL,Jacksonville,2012-1-14,7,Arson,14,C,30.224,-81.7809,
